age,booking_lead_time,trip_length,cabin_type,group_size,loyalty_status,paid_in_full,prior_cruises,customer_income,email_engagement_score,phone_verified,has_insurance,on_mailing_list,website_visits_last_month,survey_participation,preferred_contact_method,travel_history_score,referral_source,gift_certificate_used,canceled
56,131,7,Oceanview,5,None,1,1,134181.36,0.41,1,0,1,4,No,Phone,62.7,Friend,0,0
69,293,5,Oceanview,5,None,1,2,104770.24,0.34,1,0,1,1,No,Email,56.59,Friend,0,0
46,171,7,Balcony,3,None,0,1,109135.01,0.38,1,0,0,3,Yes,Phone,57.58,Ad,0,1
32,183,3,Balcony,2,Silver,0,0,80108.53,0.58,0,0,0,2,No,Email,14.75,Search Engine,0,1
60,364,10,Oceanview,3,Silver,0,2,73401.55,0.5,1,0,1,3,Partial,Phone,47.49,Ad,0,0
25,39,7,Suite,1,Gold,1,4,96280.92,0.46,1,0,1,3,No,Text,40.5,Social Media,0,0
78,15,3,Oceanview,3,Silver,1,1,112186.48,0.41,1,0,1,1,No,Text,52.24,Ad,0,0
38,4,7,Interior,4,None,1,2,90233.3,0.42,1,0,1,5,No,Email,48.02,Friend,1,1
56,349,7,Balcony,6,Silver,1,0,66005.24,0.49,1,0,0,3,No,Email,53.32,Search Engine,0,0
75,210,3,Interior,3,Silver,1,4,46492.04,0.48,1,0,1,4,No,Phone,32.11,Search Engine,0,0
36,161,14,Oceanview,2,None,1,2,37554.19,0.5,1,0,1,4,Partial,Text,51.53,Search Engine,0,0
40,16,14,Interior,4,Silver,1,1,86276.41,0.43,1,1,1,2,No,Phone,76.25,Ad,0,0
28,108,7,Interior,1,Platinum,1,1,109478.87,0.4,1,1,1,3,Yes,Email,81.93,Ad,0,0
28,311,3,Balcony,4,None,1,1,15908.16,0.5,1,0,0,1,Yes,Phone,70.26,Ad,1,0
41,227,10,Interior,4,Silver,0,1,66775.79,0.6,1,1,0,1,No,Text,22.55,Social Media,0,0
70,170,7,Oceanview,6,Gold,1,0,61881.15,0.42,1,0,1,1,No,Text,45.65,Ad,0,1
53,34,5,Interior,3,Silver,0,1,96377.98,0.14,1,0,1,4,Yes,Text,42.51,Social Media,0,0
57,251,7,Balcony,1,Silver,0,2,64995.75,0.29,1,0,1,3,Yes,Text,52.3,Ad,0,0
41,247,7,Oceanview,2,None,1,4,48086.37,0.66,0,1,0,5,Partial,Text,69.9,Social Media,0,0
20,269,7,Balcony,4,None,1,4,66730.42,0.65,1,0,1,2,No,Email,49.31,Friend,0,0
39,141,7,Oceanview,5,Silver,1,2,62029.03,0.6,1,0,1,7,No,Phone,36.21,Friend,0,0
70,274,7,Interior,5,Silver,1,1,85389.68,0.58,1,0,1,6,Yes,Phone,67.42,Search Engine,0,1
19,96,14,Oceanview,4,Platinum,1,1,78556.24,0.65,1,1,0,6,No,Phone,55.58,Friend,0,0
41,227,5,Interior,2,None,0,2,98274.44,0.45,1,0,0,3,No,Email,61.58,Search Engine,0,0
61,39,10,Oceanview,1,None,0,2,84812.49,0.52,1,0,1,3,Partial,Email,65.16,Social Media,0,0
47,302,10,Oceanview,3,None,1,1,115449.02,0.38,1,0,1,3,Partial,Email,44.91,Search Engine,0,0
55,29,7,Suite,4,None,0,0,71561.76,0.47,1,1,0,2,Yes,Email,32.28,Friend,0,1
19,318,7,Interior,3,None,1,3,103603.18,0.78,1,0,1,5,No,Phone,53.26,Social Media,0,0
77,245,7,Balcony,2,None,0,1,94535.53,0.38,0,1,1,2,No,Text,44.84,Search Engine,0,0
